Status,Name,Post Date,Type,Parent podcast,Download
Idea,Silicon Valley's education secret is leaking (and it's not coding),04/01/2025,"Daily, Deep Dive, Podcast",Chizick (Chizick%201baafe52ef5980efada1c867fbc06308.md),
,"""No wonder everyone's overwhelmed by curriculum choices... 😳
#homeschooling #education #parentingtips”",,,Chizick (Chizick%201baafe52ef5980efada1c867fbc06308.md),https://share.descript.com/view/uMuXrjGVS2Q
,"""They literally don't want you to know what the ultra-wealthy do for their kids' education... 👀
#homeschooling #education #edtech”",,,Chizick (Chizick%201baafe52ef5980efada1c867fbc06308.md),https://share.descript.com/view/OckdbTK4ejr
