Format,Cadence,Sources,Platforms,Repurposing? potential,Newsletter Crossover,Sources/Examples
Podcast clip,"2 / week - 1 new, 1 recycled? - Wednesday",,"IG Reels, YT Shorts, TT, FB, X, LinkedIn, Pinterest","Different captions, YouTube requires a title.No hashtags on FB, for example.",Thought or Trend,https://www.instagram.com/openedhq/reel/DIjh0rovSvB/
YouTube Remix,1 / week,,,,,
Text on B-Roll,1 / week,,,,,
GreenScreen Memes,1 /,https://greenscreenmemes.com/,,,,
Horse Mask Ideas,2 / week,,,,,
