Status,Date,Name,Platforms,Caption,1st Comment,Format,Clip/file URL
Draft,,The Biggest Mistake Homeschool Parents Make,,,,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df/7fac1?editorVariant=default
Draft,,The Most Fun Day Every Day,,,,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df/b5843?editorVariant=default
Draft,,The Priceless Joy of Education,,,,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df/4b342?editorVariant=default
Draft,,The Key to Homeschooling Success,,,,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df/8d399?editorVariant=default
Draft,,Becoming a 'Yes Mommy' Thanks to Open Ed!,,,,,https://web.descript.com/0bc9f4d2-bed0-4ba1-84aa-d8b7af48e6df/1a47e?editorVariant=default
