Status,Name,Thought/Trend/Tool,Date,Platforms,Caption,1st Comment,Format,Clip/file URL
Draft,Communities,,,"LinkedIn, Newsletter",,,Matt,
Draft,GO MAKE STUFF - riff on Cold Intro,Thought,01/27/2025,,,,,https://share.descript.com/view/WEzNJNhKXVL
Draft,"""BuT hOmESchOol is bOrIng""",,,,,,Short clip (reels/short),https://web.descript.com/c711e5f9-8a14-4e87-b69d-6f0617f76142/ecc10
Draft,He told the students WHAT??? 😳,,,,,,Short clip (reels/short),https://web.descript.com/c711e5f9-8a14-4e87-b69d-6f0617f76142/f0189
