Status,Name,Thought/Trend/Tool,Date,Platforms,Caption,1st Comment,Format,Clip/file URL
Draft,We’ve failed to value failing,Thought,,"LinkedIn, X",,,Image/Graphic,https://share.descript.com/view/RZmI2haboA3
Approved (CD),Let Kids Show You What They're Capable Of,Thought,,"Instagram, LinkedIn, Newsletter, X, YouTube",,,Short clip (reels/short),https://share.descript.com/view/RbKCZqNQkE5
Draft,Teach Kids the WHY: Unlocking Appreciation and Motivation,Thought,,"Instagram, LinkedIn, X",,,Short clip (reels/short),https://share.descript.com/view/gedOPemYmNs
Approved (CD),Let Kids Be Kids: The Importance of Play in Childhood Development,Tool,,"Instagram, LinkedIn, X",,,Short clip (reels/short),https://share.descript.com/view/mAAcwXMKZ0o
Approved (CD),"Cultivating Independent Thinkers, Not Little Lemmings",Trend,,"Instagram, LinkedIn, X",,,Short clip (reels/short),https://share.descript.com/view/RZmI2haboA3
Draft,Post - Rushing kids & being afraid of failure,,,"Facebook, Instagram, LinkedIn, X",,,"Post, Short clip (reels/short)",
Draft,Post - Forgot How to Play,,,X,,,Short clip (reels/short),
