Name,Date,Platforms,Format,Status,Clip/file URL
Apple Vision Pro - what even is that?,09/30/2024,"Facebook, YouTube","Long clip, Short clip (reels/short)",Posted,https://share.descript.com/view/zLDUj5a65wx
OH CRAP!,10/01/2024,Instagram,Short clip (reels/short),Rejected,https://share.descript.com/view/wenLFx1SZ3F
IF YOU DON’T SACRIFICE,10/02/2024,Instagram,Short clip (reels/short),Posted,https://share.descript.com/view/qLO5OjUWjAC
Unplugged and Unafraid: The Nature Kids Connection,10/10/2024,"Podcast, YouTube",Full Episode,Posted,
Nature Kids Connect,10/10/2024,Newsletter,,Posted,
