Status,Name,Thought/Trend/Tool,Date,Platforms,Caption,1st Comment,Format,Clip/file URL
Approved (CD),Why should we learn this?,,,"Instagram, LinkedIn, X",,,"Post, Short clip (reels/short)",https://share.descript.com/view/5p7msOKVLgD
Rejected,A very interesting school idea,Trend,,"Instagram, LinkedIn, Newsletter, X",,,"Newsletter, Short clip (reels/short)",https://share.descript.com/view/m1Z7qTV2IKf
Approved (CD),A van school routine,Trend,,"Instagram, LinkedIn, X, YouTube",,,Short clip (reels/short),https://share.descript.com/view/YcMTknLdTDZ
Rejected,Youtube can be awesome (modern intutionist),Tool,,Newsletter,,,Newsletter,https://share.descript.com/view/VZEmf3G3IA4
Approved (CD),Let kids be kids for a while,Thought,,Newsletter,,,Newsletter,https://share.descript.com/view/11RCPnolVqv
Draft,,,,,,,,
Rejected,What happens when we don’t honor our children’s dreams and wishes,,,"Instagram, LinkedIn",,,Short clip (reels/short),https://share.descript.com/view/KPLpJQTLLJi
