Clip/file URL,Status,Date,Name,Platforms,Caption,1st Comment,Format
https://share.descript.com/view/7cKI8RRWml6,Draft,,Give yourself some grace,"Instagram, LinkedIn, Newsletter, X",,,"Image/Graphic, Newsletter, Post, Short clip (reels/short)"
,Draft,,The impact of not listening to your kids,"Instagram, LinkedIn, X",,,"Post, Short clip (reels/short)"
https://share.descript.com/view/vDZnTEMnZWG,Draft,,Kids are supposed to get dirty,"LinkedIn, Newsletter, X",,,"Newsletter, Post, Short clip (reels/short)"
https://share.descript.com/view/2eYe95nnsdh,Draft,,Empowering the child’s voice in learning,"X, YouTube",,,"Image/Graphic, Post, Short clip (reels/short)"
https://share.descript.com/view/lVKJnvY3Ueu,Draft,,Are our kids alive and well?,YouTube,,,Long clip
https://share.descript.com/view/tdcwt5X6rLu,Draft,,Parents are discovering this third option... 👀,,,,Short clip (reels/short)
