Parent podcast,Status,Name,Post Date,Type,Download,Notes/Contributors
Tony mickelson - Savvy Learning (Tony%20mickelson%20-%20Savvy%20Learning%201f5afe52ef5980ab9a19d8c677b923b1.md),Idea,"CLIP 2: ""Reading Impacts Everything""",,Thought,https://share.descript.com/view/YgGPNZMvHPV,
Tony mickelson - Savvy Learning (Tony%20mickelson%20-%20Savvy%20Learning%201f5afe52ef5980ab9a19d8c677b923b1.md),Idea,Social post ideas,,,,
Tony mickelson - Savvy Learning (Tony%20mickelson%20-%20Savvy%20Learning%201f5afe52ef5980ab9a19d8c677b923b1.md),Idea,SAVVY LinkedIn,,,,
Tony mickelson - Savvy Learning (Tony%20mickelson%20-%20Savvy%20Learning%201f5afe52ef5980ab9a19d8c677b923b1.md),Idea,Blog post,,Podcast,,
Tony mickelson - Savvy Learning (Tony%20mickelson%20-%20Savvy%20Learning%201f5afe52ef5980ab9a19d8c677b923b1.md),Idea,June 18 Daily - Savvy Learning,06/26/2025,Daily,,
